k, 10, 25, 50, 100, 150, 200, 
3, 165, 241, 185, 181, 184, 201, 
3, 207, 211, 166, 178, 194, 185, 
3, 178, 247, 185, 184, 183, 195, 
3, 172, 169, 187, 182, 169, 198, 
3, 189, 270, 163, 186, 176, 193, 
3, 179, 277, 167, 177, 188, 188, 
3, 175, 309, 169, 176, 168, 189, 
3, 156, 220, 186, 174, 193, 176, 
3, 170, 226, 173, 171, 191, 181, 
3, 179, 279, 167, 177, 182, 190, 
5, 101, 139, 96, 101, 91, 110, 
5, 89, 135, 94, 93, 102, 107, 
5, 90, 149, 102, 116, 120, 113, 
5, 100, 124, 84, 92, 115, 112, 
5, 94, 128, 90, 95, 97, 105, 
5, 125, 160, 98, 86, 109, 122, 
5, 75, 173, 106, 106, 119, 93, 
5, 85, 178, 129, 119, 95, 113, 
5, 109, 170, 104, 101, 84, 109, 
5, 125, 158, 119, 118, 110, 121, 
10, 44, 56, 40, 48, 52, 51, 
10, 17, 64, 46, 44, 49, 56, 
10, 41, 69, 46, 38, 51, 56, 
10, 23, 65, 32, 50, 48, 54, 
10, 27, 66, 43, 45, 43, 55, 
10, 49, 83, 40, 50, 45, 50, 
10, 41, 79, 37, 50, 47, 53, 
10, 40, 74, 46, 46, 55, 55, 
10, 7, 81, 47, 51, 49, 49, 
10, 48, 70, 46, 49, 51, 56, 
20, 0, 27, 26, 27, 31, 32, 
20, 0, 26, 19, 31, 31, 31, 
20, 0, 22, 24, 31, 31, 36, 
20, 0, 21, 25, 25, 31, 34, 
20, 0, 17, 26, 31, 34, 31, 
20, 0, 26, 19, 25, 29, 31, 
20, 0, 22, 26, 27, 31, 33, 
20, 0, 25, 25, 26, 28, 32, 
20, 0, 15, 22, 32, 29, 30, 
20, 0, 15, 23, 29, 34, 32, 
