k, 10, 25, 50, 100, 150, 175, 200, 500,
3, 163, 253, 166, 174, 161, 187, 162, 154, 
3, 116, 328, 140, 152, 154, 184, 170, 174, 
3, 160, 273, 158, 159, 160, 172, 161, 177, 
3, 165, 230, 152, 164, 157, 177, 161, 164, 
3, 150, 166, 143, 140, 162, 170, 159, 155, 
3, 153, 175, 143, 160, 155, 304, 150, 184, 
3, 167, 188, 156, 156, 146, 190, 158, 160, 
3, 149, 221, 154, 150, 166, 216, 164, 154, 
3, 147, 253, 163, 140, 141, 213, 151, 171, 
3, 155, 201, 142, 183, 154, 163, 150, 150, 
5, 100, 132, 104, 74, 115, 125, 78, 116, 
5, 100, 156, 80, 68, 92, 183, 80, 96, 
5, 69, 122, 69, 98, 77, 111, 86, 94, 
5, 85, 162, 72, 79, 109, 178, 74, 88, 
5, 62, 178, 99, 82, 86, 159, 83, 76, 
5, 93, 160, 63, 79, 101, 189, 78, 107, 
5, 65, 172, 87, 74, 67, 166, 84, 81, 
5, 71, 101, 114, 113, 95, 157, 91, 98, 
5, 61, 177, 75, 97, 102, 135, 110, 112, 
5, 77, 148, 82, 81, 82, 154, 96, 133, 
10, 0, 50, 45, 45, 48, 73, 55, 72, 
10, 0, 60, 52, 54, 44, 77, 61, 61, 
10, 0, 61, 42, 52, 51, 66, 58, 55, 
10, 0, 80, 48, 48, 50, 75, 63, 67, 
10, 0, 61, 41, 52, 54, 68, 52, 73, 
10, 0, 53, 51, 42, 54, 71, 47, 59, 
10, 0, 69, 37, 47, 56, 74, 53, 58, 
10, 0, 80, 52, 47, 50, 58, 57, 56, 
10, 0, 86, 36, 48, 51, 64, 58, 58, 
10, 0, 58, 51, 47, 51, 60, 53, 70, 
20, 0, 18, 27, 31, 34, 39, 40, 40, 
20, 0, 23, 31, 35, 37, 43, 38, 45, 
20, 0, 17, 27, 35, 35, 39, 38, 43, 
20, 0, 24, 23, 33, 38, 39, 36, 42, 
20, 0, 28, 27, 31, 30, 36, 39, 39, 
20, 0, 23, 26, 33, 34, 42, 39, 44, 
20, 0, 23, 28, 30, 37, 41, 37, 43, 
20, 0, 22, 27, 31, 37, 42, 40, 44, 
20, 0, 20, 25, 32, 37, 42, 37, 39, 
20, 0, 16, 25, 32, 35, 39, 34, 42, 
