k, 10, 25, 50, 100, 150, 175, 200, 500, 
3, 144, 323, 349, 494, 403, 408, 308, 411, 
3, 400, 423, 394, 403, 371, 375, 484, 325, 
3, 232, 342, 304, 374, 356, 479, 372, 404, 
3, 221, 427, 364, 432, 373, 404, 337, 443, 
3, 277, 333, 387, 330, 533, 328, 379, 466, 
3, 286, 294, 296, 414, 368, 414, 349, 366, 
3, 263, 330, 300, 474, 467, 416, 381, 539, 
3, 281, 349, 526, 399, 373, 340, 362, 443, 
3, 306, 329, 368, 444, 505, 354, 357, 429, 
3, 276, 367, 494, 396, 404, 314, 325, 363, 
5, 211, 200, 229, 303, 298, 292, 224, 271, 
5, 155, 193, 257, 262, 255, 272, 279, 278, 
5, 126, 220, 274, 274, 273, 271, 266, 271, 
5, 145, 207, 261, 241, 293, 268, 260, 285, 
5, 187, 219, 263, 269, 271, 318, 312, 272, 
5, 164, 206, 242, 250, 302, 253, 247, 269, 
5, 131, 172, 244, 301, 267, 288, 276, 284, 
5, 158, 207, 188, 268, 292, 301, 275, 295, 
5, 147, 229, 233, 282, 268, 284, 307, 278, 
5, 149, 216, 243, 261, 295, 251, 253, 288, 
10, 0, 113, 132, 163, 190, 162, 175, 177, 
10, 0, 154, 158, 163, 174, 190, 165, 192, 
10, 0, 115, 143, 161, 187, 173, 174, 187, 
10, 0, 97, 154, 187, 167, 176, 176, 184, 
10, 0, 141, 151, 157, 175, 183, 184, 183, 
10, 0, 122, 152, 159, 187, 171, 150, 181, 
10, 0, 108, 161, 166, 161, 160, 181, 178, 
10, 0, 130, 150, 173, 150, 174, 183, 175, 
10, 0, 136, 141, 158, 179, 164, 188, 168, 
10, 0, 128, 157, 179, 162, 176, 164, 193, 
20, 0, 43, 92, 96, 110, 104, 115, 126, 
20, 0, 32, 91, 98, 121, 121, 109, 113, 
20, 0, 24, 89, 96, 114, 101, 109, 113, 
20, 0, 35, 93, 103, 103, 113, 108, 120, 
20, 0, 31, 88, 105, 102, 109, 105, 110, 
20, 0, 38, 88, 100, 102, 115, 106, 121, 
20, 0, 40, 84, 89, 120, 109, 118, 110, 
20, 0, 45, 76, 98, 100, 116, 111, 117, 
20, 0, 40, 80, 100, 110, 119, 113, 122, 
20, 0, 59, 94, 110, 117, 107, 115, 122, 
