k, 10, 25, 50, 100, 150, 200, 
3, 304, 304, 258, 298, 320, 313, 
3, 272, 236, 294, 300, 326, 308, 
3, 216, 284, 289, 315, 314, 317, 
3, 155, 224, 311, 313, 310, 317, 
3, 187, 298, 279, 327, 296, 310, 
3, 289, 231, 272, 324, 317, 306, 
3, 162, 287, 256, 309, 309, 319, 
3, 163, 286, 259, 313, 304, 297, 
3, 166, 238, 285, 297, 311, 310, 
3, 207, 195, 301, 296, 313, 307, 
5, 119, 178, 202, 180, 230, 236, 
5, 159, 186, 172, 214, 189, 205, 
5, 124, 172, 195, 204, 205, 214, 
5, 161, 204, 177, 194, 191, 206, 
5, 137, 179, 159, 197, 200, 252, 
5, 171, 192, 204, 190, 191, 214, 
5, 185, 185, 187, 202, 182, 218, 
5, 186, 169, 191, 188, 207, 197, 
5, 144, 164, 191, 222, 225, 186, 
5, 109, 192, 181, 201, 207, 197, 
10, 37, 109, 112, 136, 155, 148, 
10, 39, 116, 127, 138, 147, 139, 
10, 69, 107, 143, 134, 147, 151, 
10, 68, 88, 122, 146, 138, 144, 
10, 56, 96, 131, 143, 129, 153, 
10, 31, 105, 123, 134, 135, 149, 
10, 78, 111, 119, 142, 137, 138, 
10, 53, 106, 110, 147, 133, 135, 
10, 39, 124, 136, 150, 138, 146, 
10, 33, 109, 121, 141, 144, 142, 
20, 0, 32, 76, 87, 93, 100, 
20, 0, 51, 76, 92, 86, 93, 
20, 0, 56, 75, 85, 94, 90, 
20, 0, 42, 75, 83, 81, 92, 
20, 0, 34, 75, 88, 90, 99, 
20, 0, 60, 72, 91, 92, 94, 
20, 0, 48, 71, 89, 87, 99, 
20, 0, 47, 68, 86, 90, 98, 
20, 0, 69, 72, 94, 94, 91, 
20, 0, 31, 80, 90, 92, 96, 
